date,Team_1,Team_2,Winner,Margin,Ground
29-Aug-18,Ireland,Afghanistan,Ireland,3 wickets,Belfast
30-Aug-18,Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur
31-Aug-18,Ireland,Afghanistan,Afghanistan,8 wickets,Belfast
15-Sep-18,Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC)
16-Sep-18,Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC)
17-Sep-18,Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi
18-Sep-18,Hong Kong,India,India,26 runs,Dubai (DSC)
19-Sep-18,India,Pakistan,India,8 wickets,Dubai (DSC)
20-Sep-18,Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi
21-Sep-18,Bangladesh,India,India,7 wickets,Dubai (DSC)
21-Sep-18,Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi
23-Sep-18,India,Pakistan,India,9 wickets,Dubai (DSC)
23-Sep-18,Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi
25-Sep-18,Afghanistan,India,tied,,Dubai (DSC)
26-Sep-18,Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi
28-Sep-18,Bangladesh,India,India,3 wickets,Dubai (DSC)
30-Sep-18,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley
03-Oct-18,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein
06-Oct-18,South Africa,Zimbabwe,South Africa,4 wickets,Paarl
10-Oct-18,Sri Lanka,England,no result,,Dambulla
13-Oct-18,Sri Lanka,England,England,31 runs,Dambulla
17-Oct-18,Sri Lanka,England,England,7 wickets,Pallekele
20-Oct-18,Sri Lanka,England,England,18 runs,Pallekele
21-Oct-18,India,West Indies,India,8 wickets,Guwahati
21-Oct-18,Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur
23-Oct-18,Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS)
24-Oct-18,India,West Indies,tied,,Visakhapatnam
24-Oct-18,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
26-Oct-18,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
27-Oct-18,India,West Indies,West Indies,43 runs,Pune
29-Oct-18,India,West Indies,India,224 runs,Brabourne
01-Nov-18,India,West Indies,India,9 wickets,Thiruvananthapuram
04-Nov-18,Australia,South Africa,South Africa,6 wickets,Perth
07-Nov-18,New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi
09-Nov-18,Australia,South Africa,Australia,7 runs,Adelaide
09-Nov-18,New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi
11-Nov-18,Australia,South Africa,South Africa,40 runs,Hobart
11-Nov-18,New Zealand,Pakistan,no result,,Dubai (DSC)
09-Dec-18,Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur
11-Dec-18,Bangladesh,West Indies,West Indies,4 wickets,Mirpur
14-Dec-18,Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet
03-Jan-19,New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui
05-Jan-19,New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui
08-Jan-19,New Zealand,Sri Lanka,New Zealand,115 runs,Nelson
12-Jan-19,Australia,India,Australia,34 runs,Sydney
15-Jan-19,Australia,India,India,6 wickets,Adelaide
18-Jan-19,Australia,India,India,7 wickets,Melbourne
19-Jan-19,South Africa,Pakistan,Pakistan,5 wickets,Gqeberha
22-Jan-19,South Africa,Pakistan,South Africa,5 wickets,Durban
23-Jan-19,New Zealand,India,India,8 wickets,Napier
25-Jan-19,U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai
25-Jan-19,South Africa,Pakistan,South Africa,13 runs,Centurion
26-Jan-19,New Zealand,India,India,90 runs,Mount Maunganui
26-Jan-19,U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai
27-Jan-19,South Africa,Pakistan,Pakistan,8 wickets,Johannesburg
28-Jan-19,New Zealand,India,India,7 wickets,Mount Maunganui
28-Jan-19,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai
30-Jan-19,South Africa,Pakistan,South Africa,7 wickets,Cape Town
31-Jan-19,New Zealand,India,New Zealand,8 wickets,Hamilton
03-Feb-19,New Zealand,India,India,35 runs,Wellington
13-Feb-19,New Zealand,Bangladesh,New Zealand,8 wickets,Napier
16-Feb-19,New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch
20-Feb-19,New Zealand,Bangladesh,New Zealand,88 runs,Dunedin
20-Feb-19,West Indies,England,England,6 wickets,Bridgetown
22-Feb-19,West Indies,England,West Indies,26 runs,Bridgetown
25-Feb-19,West Indies,England,no result,,St George's
27-Feb-19,West Indies,England,England,29 runs,St George's
28-Feb-19,Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun
02-Mar-19,Afghanistan,Ireland,no result,,Dehradun
02-Mar-19,India,Australia,India,6 wickets,Hyderabad
02-Mar-19,West Indies,England,West Indies,7 wickets,Gros Islet
03-Mar-19,South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg
05-Mar-19,Afghanistan,Ireland,Ireland,4 wickets,Dehradun
05-Mar-19,India,Australia,India,8 runs,Nagpur
06-Mar-19,South Africa,Sri Lanka,South Africa,113 runs,Centurion
08-Mar-19,Afghanistan,Ireland,Afghanistan,109 runs,Dehradun
08-Mar-19,India,Australia,Australia,32 runs,Ranchi
10-Mar-19,Afghanistan,Ireland,Ireland,5 wickets,Dehradun
10-Mar-19,India,Australia,Australia,4 wickets,Mohali
10-Mar-19,South Africa,Sri Lanka,South Africa,71 runs,Durban
13-Mar-19,India,Australia,Australia,35 runs,Delhi
13-Mar-19,South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha
16-Mar-19,South Africa,Sri Lanka,South Africa,41 runs,Cape Town
22-Mar-19,Australia,Pakistan,Australia,8 wickets,Sharjah
24-Mar-19,Australia,Pakistan,Australia,8 wickets,Sharjah
27-Mar-19,Australia,Pakistan,Australia,80 runs,Abu Dhabi
29-Mar-19,Australia,Pakistan,Australia,6 runs,Dubai (DSC)
31-Mar-19,Australia,Pakistan,Australia,20 runs,Dubai (DSC)
10-Apr-19,Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare
12-Apr-19,Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare
14-Apr-19,Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare
16-Apr-19,Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare
27-Apr-19,Namibia,Oman,Namibia,145 runs,Windhoek
27-Apr-19,P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek
03-May-19,Ireland,England,England,4 wickets,Dublin (Malahide)
05-May-19,Ireland,West Indies,West Indies,196 runs,Dublin
07-May-19,Bangladesh,West Indies,Bangladesh,8 wickets,Dublin
08-May-19,England,Pakistan,no result,,The Oval
10-May-19,Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh
11-May-19,Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide)
11-May-19,England,Pakistan,England,12 runs,Southampton
13-May-19,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide)
14-May-19,England,Pakistan,England,6 wickets,Bristol
15-May-19,Ireland,Bangladesh,Bangladesh,6 wickets,Dublin
17-May-19,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide)
17-May-19,England,Pakistan,England,3 wickets,Nottingham
19-May-19,Ireland,Afghanistan,Ireland,72 runs,Belfast
19-May-19,England,Pakistan,England,54 runs,Leeds
21-May-19,Ireland,Afghanistan,Afghanistan,126 runs,Belfast
21-May-19,Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh
30-May-19,England,South Africa,England,104 runs,The Oval
31-May-19,Pakistan,West Indies,West Indies,7 wickets,Nottingham
01-Jun-19,New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff
01-Jun-19,Afghanistan,Australia,Australia,7 wickets,Bristol
02-Jun-19,Bangladesh,South Africa,Bangladesh,21 runs,The Oval
03-Jun-19,England,Pakistan,Pakistan,14 runs,Nottingham
04-Jun-19,Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff
05-Jun-19,India,South Africa,India,6 wickets,Southampton
05-Jun-19,Bangladesh,New Zealand,New Zealand,2 wickets,The Oval
06-Jun-19,Australia,West Indies,Australia,15 runs,Nottingham
08-Jun-19,England,Bangladesh,England,106 runs,Cardiff
08-Jun-19,Afghanistan,New Zealand,New Zealand,7 wickets,Taunton
09-Jun-19,Australia,India,India,36 runs,The Oval
10-Jun-19,South Africa,West Indies,no result,,Southampton
12-Jun-19,Australia,Pakistan,Australia,41 runs,Taunton
14-Jun-19,England,West Indies,England,8 wickets,Southampton
15-Jun-19,Australia,Sri Lanka,Australia,87 runs,The Oval
15-Jun-19,Afghanistan,South Africa,South Africa,9 wickets,Cardiff
16-Jun-19,India,Pakistan,India,89 runs,Manchester
17-Jun-19,Bangladesh,West Indies,Bangladesh,7 wickets,Taunton
18-Jun-19,England,Afghanistan,England,150 runs,Manchester
19-Jun-19,Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer
19-Jun-19,New Zealand,South Africa,New Zealand,4 wickets,Birmingham
20-Jun-19,Australia,Bangladesh,Australia,48 runs,Nottingham
21-Jun-19,Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer
21-Jun-19,England,Sri Lanka,Sri Lanka,20 runs,Leeds
22-Jun-19,Afghanistan,India,India,11 runs,Southampton
22-Jun-19,New Zealand,West Indies,New Zealand,5 runs,Manchester
23-Jun-19,Pakistan,South Africa,Pakistan,49 runs,Lord's
24-Jun-19,Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton
25-Jun-19,England,Australia,Australia,64 runs,Lord's
26-Jun-19,New Zealand,Pakistan,Pakistan,6 wickets,Birmingham
27-Jun-19,India,West Indies,India,125 runs,Manchester
28-Jun-19,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street
29-Jun-19,Afghanistan,Pakistan,Pakistan,3 wickets,Leeds
29-Jun-19,Australia,New Zealand,Australia,86 runs,Lord's
30-Jun-19,England,India,England,31 runs,Birmingham
01-Jul-19,Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street
01-Jul-19,Ireland,Zimbabwe,Ireland,4 wickets,Bready
02-Jul-19,Bangladesh,India,India,28 runs,Birmingham
03-Jul-19,England,New Zealand,England,119 runs,Chester-le-Street
04-Jul-19,Afghanistan,West Indies,West Indies,23 runs,Leeds
04-Jul-19,Ireland,Zimbabwe,Ireland,5 runs,Belfast
05-Jul-19,Bangladesh,Pakistan,Pakistan,94 runs,Lord's
06-Jul-19,India,Sri Lanka,India,7 wickets,Leeds
06-Jul-19,Australia,South Africa,South Africa,10 runs,Manchester
07-Jul-19,Ireland,Zimbabwe,Ireland,6 wickets,Belfast
10-Jul-19,India,New Zealand,New Zealand,18 runs,Manchester
11-Jul-19,England,Australia,England,8 wickets,Birmingham
14-Jul-19,England,New Zealand,tied,,Lord's
26-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS)
28-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS)
31-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS)
08-Aug-19,West Indies,India,no result,,Providence
11-Aug-19,West Indies,India,India,59 runs,Port of Spain
14-Aug-19,Oman,P.N.G.,Oman,4 wickets,Aberdeen
14-Aug-19,West Indies,India,India,6 wickets,Port of Spain
15-Aug-19,Scotland,Oman,Oman,8 wickets,Aberdeen
17-Aug-19,Scotland,P.N.G.,Scotland,3 wickets,Aberdeen
18-Aug-19,Scotland,Oman,Scotland,85 runs,Aberdeen
20-Aug-19,Scotland,P.N.G.,Scotland,38 runs,Aberdeen
21-Aug-19,Oman,P.N.G.,Oman,4 wickets,Aberdeen
13-Sep-19,U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill
17-Sep-19,U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill
19-Sep-19,U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill
20-Sep-19,U.S.A.,Namibia,Namibia,139 runs,Lauderhill
22-Sep-19,Namibia,P.N.G.,Namibia,4 wickets,Lauderhill
23-Sep-19,Namibia,P.N.G.,Namibia,27 runs,Lauderhill
30-Sep-19,Pakistan,Sri Lanka,Pakistan,67 runs,Karachi
02-Oct-19,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi
06-Nov-19,Afghanistan,West Indies,West Indies,7 wickets,Lucknow
09-Nov-19,Afghanistan,West Indies,West Indies,47 runs,Lucknow
11-Nov-19,Afghanistan,West Indies,West Indies,5 wickets,Lucknow
08-Dec-19,U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah
09-Dec-19,Scotland,U.S.A.,U.S.A.,35 runs,Sharjah
12-Dec-19,U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai
14-Dec-19,Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai
15-Dec-19,U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai
15-Dec-19,India,West Indies,West Indies,8 wickets,Chennai
18-Dec-19,India,West Indies,India,107 runs,Visakhapatnam
22-Dec-19,India,West Indies,India,4 wickets,Cuttack
05-Jan-20,Oman,U.A.E.,Oman,5 wickets,Al Amerat
06-Jan-20,Namibia,U.A.E.,U.A.E.,8 runs,Al Amerat
07-Jan-20,West Indies,Ireland,West Indies,5 wickets,Bridgetown
08-Jan-20,Oman,Namibia,Namibia,52 runs,Al Amerat
09-Jan-20,Namibia,U.A.E.,U.A.E.,8 wickets,Al Amerat
09-Jan-20,West Indies,Ireland,West Indies,1 wicket,Bridgetown
12-Jan-20,West Indies,Ireland,West Indies,5 wickets,St George's
14-Jan-20,India,Australia,Australia,10 wickets,Wankhede
17-Jan-20,India,Australia,India,36 runs,Rajkot
19-Jan-20,India,Australia,India,7 wickets,Bengaluru
04-Feb-20,South Africa,England,South Africa,7 wickets,Cape Town
05-Feb-20,New Zealand,India,New Zealand,4 wickets,Hamilton
05-Feb-20,Nepal,Oman,Oman,18 runs,Kirtipur
06-Feb-20,Oman,U.S.A.,Oman,6 wickets,Kirtipur
07-Feb-20,South Africa,England,no result,,Durban
08-Feb-20,New Zealand,India,New Zealand,22 runs,Auckland
08-Feb-20,Nepal,U.S.A.,Nepal,35 runs,Kirtipur
09-Feb-20,Nepal,Oman,Oman,8 wickets,Kirtipur
09-Feb-20,South Africa,England,England,2 wickets,Johannesburg
11-Feb-20,New Zealand,India,New Zealand,5 wickets,Mount Maunganui
11-Feb-20,Oman,U.S.A.,Oman,92 runs,Kirtipur
12-Feb-20,Nepal,U.S.A.,Nepal,8 wickets,Kirtipur
22-Feb-20,Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (SSC)
26-Feb-20,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota
29-Feb-20,South Africa,Australia,South Africa,74 runs,Paarl
01-Mar-20,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet
01-Mar-20,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele
03-Mar-20,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet
04-Mar-20,South Africa,Australia,South Africa,6 wickets,Bloemfontein
06-Mar-20,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet
07-Mar-20,South Africa,Australia,South Africa,6 wickets,Potchefstroom
13-Mar-20,Australia,New Zealand,Australia,71 runs,Sydney
30-Jul-20,England,Ireland,England,6 wickets,Southampton
01-Aug-20,England,Ireland,England,4 wickets,Southampton
04-Aug-20,England,Ireland,Ireland,7 wickets,Southampton
11-Sep-20,England,Australia,Australia,19 runs,Manchester
13-Sep-20,England,Australia,England,24 runs,Manchester
16-Sep-20,England,Australia,Australia,3 wickets,Manchester
30-Oct-20,Pakistan,Zimbabwe,Pakistan,26 runs,Rawalpindi
01-Nov-20,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi
03-Nov-20,Pakistan,Zimbabwe,tied,,Rawalpindi
27-Nov-20,Australia,India,Australia,66 runs,Sydney
29-Nov-20,Australia,India,Australia,51 runs,Sydney
02-Dec-20,Australia,India,India,13 runs,Canberra
08-Jan-21,U.A.E.,Ireland,U.A.E.,6 wickets,Abu Dhabi
18-Jan-21,U.A.E.,Ireland,Ireland,112 runs,Abu Dhabi
20-Jan-21,Bangladesh,West Indies,Bangladesh,6 wickets,Mirpur
21-Jan-21,Afghanistan,Ireland,Afghanistan,16 runs,Abu Dhabi
22-Jan-21,Bangladesh,West Indies,Bangladesh,7 wickets,Mirpur
24-Jan-21,Afghanistan,Ireland,Afghanistan,7 wickets,Abu Dhabi
25-Jan-21,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram
26-Jan-21,Afghanistan,Ireland,Afghanistan,36 runs,Abu Dhabi
10-Mar-21,West Indies,Sri Lanka,West Indies,8 wickets,North Sound
12-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,North Sound
14-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,North Sound
20-Mar-21,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin
23-Mar-21,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch
23-Mar-21,India,England,India,66 runs,Pune
26-Mar-21,New Zealand,Bangladesh,New Zealand,164 runs,Wellington
26-Mar-21,India,England,England,6 wickets,Pune
28-Mar-21,India,England,India,7 runs,Pune
02-Apr-21,South Africa,Pakistan,Pakistan,3 wickets,Centurion
04-Apr-21,South Africa,Pakistan,South Africa,17 runs,Johannesburg
07-Apr-21,South Africa,Pakistan,Pakistan,28 runs,Centurion
19-May-21,Netherlands,Scotland,Netherlands,14 runs,Rotterdam
20-May-21,Netherlands,Scotland,Scotland,6 wickets,Rotterdam
23-May-21,Bangladesh,Sri Lanka,Bangladesh,33 runs,Mirpur
25-May-21,Bangladesh,Sri Lanka,Bangladesh,103 runs,Mirpur
28-May-21,Bangladesh,Sri Lanka,Sri Lanka,97 runs,Mirpur
02-Jun-21,Netherlands,Ireland,Netherlands,1 run,Utrecht
04-Jun-21,Netherlands,Ireland,Ireland,8 wickets,Utrecht
07-Jun-21,Netherlands,Ireland,Netherlands,4 wickets,Utrecht
29-Jun-21,England,Sri Lanka,England,5 wickets,Chester-le-Street
01-Jul-21,England,Sri Lanka,England,8 wickets,The Oval
04-Jul-21,England,Sri Lanka,no result,,Bristol
08-Jul-21,England,Pakistan,England,9 wickets,Cardiff
10-Jul-21,England,Pakistan,England,52 runs,Lord's
11-Jul-21,Ireland,South Africa,no result,,Dublin (Malahide)
13-Jul-21,Ireland,South Africa,Ireland,43 runs,Dublin (Malahide)
13-Jul-21,England,Pakistan,England,3 wickets,Birmingham
16-Jul-21,Zimbabwe,Bangladesh,Bangladesh,155 runs,Harare
16-Jul-21,Ireland,South Africa,South Africa,70 runs,Dublin (Malahide)
18-Jul-21,Zimbabwe,Bangladesh,Bangladesh,3 wickets,Harare
18-Jul-21,Sri Lanka,India,India,7 wickets,Colombo (RPS)
20-Jul-21,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare
20-Jul-21,Sri Lanka,India,India,3 wickets,Colombo (RPS)
20-Jul-21,West Indies,Australia,Australia,133 runs,Bridgetown
22-Jul-21,West Indies,Australia,West Indies,4 wickets,Bridgetown
23-Jul-21,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS)
26-Jul-21,West Indies,Australia,Australia,6 wickets,Bridgetown
02-Sep-21,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS)
04-Sep-21,Sri Lanka,South Africa,South Africa,67 runs,Colombo (RPS)
06-Sep-21,P.N.G.,U.S.A.,U.S.A.,7 wickets,Al Amerat
07-Sep-21,Nepal,P.N.G.,Nepal,2 wickets,Al Amerat
07-Sep-21,Sri Lanka,South Africa,Sri Lanka,78 runs,Colombo (RPS)
08-Sep-21,Ireland,Zimbabwe,Zimbabwe,38 runs,Belfast
09-Sep-21,P.N.G.,U.S.A.,U.S.A.,134 runs,Al Amerat
10-Sep-21,Ireland,Zimbabwe,no result,,Belfast
10-Sep-21,Nepal,P.N.G.,Nepal,151 runs,Al Amerat
13-Sep-21,Ireland,Zimbabwe,Ireland,7 wickets,Belfast
13-Sep-21,Nepal,U.S.A.,Nepal,5 wickets,Al Amerat
14-Sep-21,Oman,Nepal,Oman,5 wickets,Al Amerat
16-Sep-21,Oman,U.S.A.,Oman,4 wickets,Al Amerat
17-Sep-21,Nepal,U.S.A.,U.S.A.,6 wickets,Al Amerat
19-Sep-21,Oman,Nepal,Nepal,7 wickets,Al Amerat
20-Sep-21,Oman,U.S.A.,Oman,72 runs,Al Amerat
25-Sep-21,P.N.G.,Scotland,Scotland,6 wickets,Al Amerat
26-Sep-21,Oman,P.N.G.,Oman,110 runs,Al Amerat
28-Sep-21,Oman,Scotland,Scotland,18 runs,Al Amerat
29-Sep-21,P.N.G.,Scotland,Scotland,4 wickets,Al Amerat
01-Oct-21,Oman,P.N.G.,Oman,3 wickets,Al Amerat
02-Oct-21,Oman,Scotland,no result,,Al Amerat
26-Nov-21,Namibia,Oman,Namibia,40 runs,Windhoek
26-Nov-21,South Africa,Netherlands,no result,,Centurion
27-Nov-21,Namibia,Oman,Oman,9 runs,Windhoek
08-Jan-22,West Indies,Ireland,West Indies,24 runs,Kingston
13-Jan-22,West Indies,Ireland,Ireland,5 wickets,Kingston
16-Jan-22,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele
16-Jan-22,West Indies,Ireland,Ireland,2 wickets,Kingston
18-Jan-22,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele
19-Jan-22,South Africa,India,South Africa,31 runs,Paarl
21-Jan-22,Afghanistan,Netherlands,Afghanistan,36 runs,Doha
21-Jan-22,South Africa,India,South Africa,7 wickets,Paarl
21-Jan-22,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele
23-Jan-22,Afghanistan,Netherlands,Afghanistan,48 runs,Doha
23-Jan-22,South Africa,India,South Africa,4 runs,Cape Town
25-Jan-22,Afghanistan,Netherlands,Afghanistan,75 runs,Doha
05-Feb-22,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat
06-Feb-22,Oman,U.A.E.,U.A.E.,4 wickets,Al Amerat
06-Feb-22,India,West Indies,India,6 wickets,Ahmedabad
08-Feb-22,Oman,U.A.E.,tied,,Al Amerat
09-Feb-22,India,West Indies,India,44 runs,Ahmedabad
11-Feb-22,India,West Indies,India,96 runs,Ahmedabad
23-Feb-22,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram
25-Feb-22,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram
28-Feb-22,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram
05-Mar-22,U.A.E.,Oman,Oman,12 runs,ICCA Dubai
06-Mar-22,Namibia,Oman,Namibia,110 runs,ICCA Dubai
08-Mar-22,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai
09-Mar-22,U.A.E.,Oman,Oman,8 runs,ICCA Dubai
11-Mar-22,Namibia,Oman,Oman,7 wickets,Sharjah
12-Mar-22,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah
14-Mar-22,Namibia,Oman,Namibia,5 wickets,Dubai (DSC)
15-Mar-22,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah
16-Mar-22,Nepal,P.N.G.,Nepal,2 wickets,Sharjah
18-Mar-22,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC)
18-Mar-22,South Africa,Bangladesh,Bangladesh,38 runs,Centurion
19-Mar-22,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC)
20-Mar-22,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg
21-Mar-22,U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC)
22-Mar-22,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC)
23-Mar-22,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion
25-Mar-22,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur
26-Mar-22,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur
29-Mar-22,New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui
29-Mar-22,Pakistan,Australia,Australia,88 runs,Lahore
31-Mar-22,Pakistan,Australia,Pakistan,6 wickets,Lahore
02-Apr-22,New Zealand,Netherlands,New Zealand,118 runs,Hamilton
02-Apr-22,Pakistan,Australia,Pakistan,9 wickets,Lahore
04-Apr-22,New Zealand,Netherlands,New Zealand,115 runs,Hamilton
09-Apr-22,P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC)
10-Apr-22,Oman,Scotland,Scotland,4 runs,Dubai (DSC)
12-Apr-22,Oman,P.N.G.,Oman,7 wickets,Dubai (DSC)
13-Apr-22,P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC)
15-Apr-22,Oman,Scotland,Scotland,2 wickets,Dubai (DSC)
16-Apr-22,Oman,P.N.G.,Oman,85 runs,Dubai (DSC)
28-May-22,U.S.A.,Scotland,U.S.A.,104 runs,Pearland
29-May-22,U.S.A.,Scotland,Scotland,111 runs,Pearland
31-May-22,Netherlands,West Indies,West Indies,7 wickets,Amstelveen
31-May-22,Scotland,U.A.E.,Scotland,4 wickets,Pearland
01-Jun-22,U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland
02-Jun-22,Netherlands,West Indies,West Indies,5 wickets,Amstelveen
03-Jun-22,Scotland,U.A.E.,U.A.E.,5 wickets,Pearland
04-Jun-22,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare
04-Jun-22,Netherlands,West Indies,West Indies,20 runs,Amstelveen
04-Jun-22,U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland
06-Jun-22,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare
08-Jun-22,Pakistan,West Indies,Pakistan,5 wickets,Multan
08-Jun-22,U.S.A.,Oman,U.S.A.,114 runs,Pearland
09-Jun-22,Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare
09-Jun-22,Nepal,Oman,Oman,13 runs,Pearland
10-Jun-22,Pakistan,West Indies,Pakistan,120 runs,Multan
11-Jun-22,U.S.A.,Nepal,tied,,Pearland
12-Jun-22,Pakistan,West Indies,Pakistan,53 runs,Multan
12-Jun-22,U.S.A.,Oman,Oman,13 runs,Pearland
14-Jun-22,Sri Lanka,Australia,Australia,2 wickets,Pallekele
14-Jun-22,Nepal,Oman,Nepal,7 wickets,Pearland
15-Jun-22,U.S.A.,Nepal,U.S.A.,39 runs,Pearland
16-Jun-22,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele
17-Jun-22,Netherlands,England,England,232 runs,Amstelveen
19-Jun-22,Netherlands,England,England,6 wickets,Amstelveen
19-Jun-22,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS)
21-Jun-22,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS)
22-Jun-22,Netherlands,England,England,8 wickets,Amstelveen
24-Jun-22,Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS)
10-Jul-22,Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide)
10-Jul-22,Scotland,Namibia,Scotland,77 runs,Glasgow
10-Jul-22,West Indies,Bangladesh,Bangladesh,6 wickets,Providence
11-Jul-22,Namibia,Nepal,Namibia,40 runs,Ayr
12-Jul-22,Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide)
12-Jul-22,England,India,India,10 wickets,The Oval
13-Jul-22,Scotland,Nepal,Nepal,5 wickets,Glasgow
