date,Team_1,Team_2,Winner,Margin,Ground
10-Mar-93,Sri Lanka,England,Sri Lanka,32 runs,Colombo (RPS)
19-Mar-93,New Zealand,Australia,Australia,129 runs,Dunedin
19-Mar-93,India,Zimbabwe,India,67 runs,Faridabad
20-Mar-93,Sri Lanka,England,Sri Lanka,8 wickets,Moratuwa
22-Mar-93,New Zealand,Australia,Australia,1 wicket,Christchurch
22-Mar-93,India,Zimbabwe,India,7 wickets,Guwahati
23-Mar-93,West Indies,Pakistan,West Indies,4 wickets,Kingston
24-Mar-93,New Zealand,Australia,New Zealand,88 runs,Wellington
25-Mar-93,India,Zimbabwe,India,8 wickets,Pune
26-Mar-93,West Indies,Pakistan,West Indies,5 wickets,Port of Spain
27-Mar-93,New Zealand,Australia,New Zealand,3 wickets,Hamilton
27-Mar-93,West Indies,Pakistan,Pakistan,7 wickets,Port of Spain
28-Mar-93,New Zealand,Australia,Australia,3 runs,Auckland
30-Mar-93,West Indies,Pakistan,Pakistan,38 runs,Kingstown
03-Apr-93,West Indies,Pakistan,tied,,Georgetown
19-May-93,England,Australia,Australia,4 runs,Manchester
21-May-93,England,Australia,Australia,6 wickets,Birmingham
23-May-93,England,Australia,Australia,19 runs,Lord's
25-Jul-93,Sri Lanka,India,India,1 run,Colombo (RPS)
12-Aug-93,Sri Lanka,India,Sri Lanka,8 runs,Colombo (RPS)
14-Aug-93,Sri Lanka,India,Sri Lanka,4 wickets,Moratuwa
22-Aug-93,Sri Lanka,South Africa,no result,,Kandy
02-Sep-93,Sri Lanka,South Africa,South Africa,124 runs,Colombo (RPS)
04-Sep-93,Sri Lanka,South Africa,Sri Lanka,44 runs,Colombo (RPS)
28-Oct-93,Sri Lanka,West Indies,West Indies,8 wickets,Sharjah
29-Oct-93,Pakistan,West Indies,West Indies,39 runs,Sharjah
30-Oct-93,Pakistan,Sri Lanka,Pakistan,114 runs,Sharjah
01-Nov-93,Pakistan,West Indies,Pakistan,5 wickets,Sharjah
02-Nov-93,Pakistan,Sri Lanka,Pakistan,2 wickets,Sharjah
03-Nov-93,Sri Lanka,West Indies,West Indies,8 wickets,Sharjah
05-Nov-93,Pakistan,West Indies,West Indies,6 wickets,Sharjah
07-Nov-93,India,Sri Lanka,India,7 wickets,Kanpur
09-Nov-93,Sri Lanka,West Indies,West Indies,46 runs,Wankhede
10-Nov-93,South Africa,Zimbabwe,no result,,Bengaluru
14-Nov-93,South Africa,West Indies,South Africa,41 runs,Brabourne
15-Nov-93,Sri Lanka,Zimbabwe,Sri Lanka,55 runs,Patna
16-Nov-93,India,West Indies,West Indies,69 runs,Ahmedabad
18-Nov-93,India,Zimbabwe,tied,,Indore
19-Nov-93,South Africa,Sri Lanka,South Africa,78 runs,Guwahati
21-Nov-93,West Indies,Zimbabwe,West Indies,134 runs,Hyderabad
22-Nov-93,India,South Africa,India,43 runs,Mohali
24-Nov-93,India,South Africa,India,2 runs,Eden Gardens
25-Nov-93,Sri Lanka,West Indies,West Indies,7 wickets,Eden Gardens
27-Nov-93,India,West Indies,India,102 runs,Eden Gardens
01-Dec-93,Sri Lanka,West Indies,no result,,Colombo (PSS)
09-Dec-93,Australia,South Africa,South Africa,7 wickets,Melbourne
12-Dec-93,Australia,New Zealand,Australia,8 wickets,Adelaide
14-Dec-93,Australia,South Africa,Australia,103 runs,Sydney
16-Dec-93,Australia,New Zealand,Australia,3 runs,Melbourne
16-Dec-93,Sri Lanka,West Indies,Sri Lanka,3 wickets,Colombo (RPS)
18-Dec-93,New Zealand,South Africa,New Zealand,4 wickets,Hobart
18-Dec-93,Sri Lanka,West Indies,West Indies,6 wickets,Colombo (SSC)
24-Dec-93,Pakistan,Zimbabwe,Pakistan,7 wickets,Karachi
25-Dec-93,Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi
27-Dec-93,Pakistan,Zimbabwe,Pakistan,75 runs,Lahore
08-Jan-94,New Zealand,South Africa,New Zealand,9 runs,Brisbane
09-Jan-94,Australia,South Africa,Australia,48 runs,Brisbane
11-Jan-94,Australia,New Zealand,New Zealand,13 runs,Sydney
14-Jan-94,New Zealand,South Africa,South Africa,5 wickets,Perth
16-Jan-94,Australia,South Africa,South Africa,82 runs,Perth
19-Jan-94,Australia,New Zealand,Australia,51 runs,Melbourne
21-Jan-94,Australia,South Africa,South Africa,28 runs,Melbourne
23-Jan-94,Australia,South Africa,Australia,69 runs,Sydney
25-Jan-94,Australia,South Africa,Australia,35 runs,Sydney
15-Feb-94,India,Sri Lanka,India,8 runs,Rajkot
16-Feb-94,West Indies,England,England,61 runs,Bridgetown
18-Feb-94,India,Sri Lanka,India,7 wickets,Hyderabad
19-Feb-94,South Africa,Australia,South Africa,5 runs,Johannesburg
20-Feb-94,India,Sri Lanka,Sri Lanka,4 wickets,Jalandhar
20-Feb-94,South Africa,Australia,South Africa,56 runs,Centurion
22-Feb-94,South Africa,Australia,Australia,88 runs,Gqeberha
24-Feb-94,South Africa,Australia,South Africa,7 wickets,Durban
26-Feb-94,West Indies,England,West Indies,3 wickets,Kingston
02-Mar-94,West Indies,England,West Indies,165 runs,Kingstown
03-Mar-94,New Zealand,Pakistan,Pakistan,5 wickets,Dunedin
05-Mar-94,West Indies,England,West Indies,15 runs,Port of Spain
06-Mar-94,New Zealand,Pakistan,Pakistan,36 runs,Auckland
06-Mar-94,West Indies,England,England,5 wickets,Port of Spain
09-Mar-94,New Zealand,Pakistan,Pakistan,11 runs,Wellington
13-Mar-94,New Zealand,Pakistan,tied,,Auckland
16-Mar-94,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch
25-Mar-94,New Zealand,India,New Zealand,28 runs,Napier
27-Mar-94,New Zealand,India,India,7 wickets,Auckland
30-Mar-94,New Zealand,India,India,12 runs,Wellington
02-Apr-94,New Zealand,India,New Zealand,6 wickets,Christchurch
02-Apr-94,South Africa,Australia,Australia,7 wickets,East London
04-Apr-94,South Africa,Australia,South Africa,26 runs,Gqeberha
06-Apr-94,South Africa,Australia,Australia,36 runs,Cape Town
08-Apr-94,South Africa,Australia,Australia,1 run,Bloemfontein
13-Apr-94,U.A.E.,India,India,71 runs,Sharjah
14-Apr-94,Australia,Sri Lanka,Australia,9 wickets,Sharjah
15-Apr-94,India,Pakistan,Pakistan,6 wickets,Sharjah
16-Apr-94,Australia,New Zealand,Australia,7 wickets,Sharjah
17-Apr-94,U.A.E.,Pakistan,Pakistan,9 wickets,Sharjah
18-Apr-94,New Zealand,Sri Lanka,New Zealand,2 runs,Sharjah
19-Apr-94,Australia,India,India,7 wickets,Sharjah
20-Apr-94,New Zealand,Pakistan,Pakistan,62 runs,Sharjah
22-Apr-94,India,Pakistan,Pakistan,39 runs,Sharjah
19-May-94,England,New Zealand,England,42 runs,Birmingham
03-Aug-94,Sri Lanka,Pakistan,Pakistan,9 wickets,Colombo (RPS)
06-Aug-94,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS)
07-Aug-94,Sri Lanka,Pakistan,Pakistan,19 runs,Colombo (SSC)
22-Aug-94,Sri Lanka,Pakistan,Pakistan,5 wickets,Colombo (SSC)
24-Aug-94,Sri Lanka,Pakistan,Pakistan,27 runs,Colombo (RPS)
25-Aug-94,England,South Africa,England,6 wickets,Birmingham
28-Aug-94,England,South Africa,England,4 wickets,Manchester
04-Sep-94,Sri Lanka,India,no result,,Colombo (RPS)
05-Sep-94,Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS)
07-Sep-94,Australia,Pakistan,Australia,28 runs,Colombo (SSC)
09-Sep-94,Australia,India,India,31 runs,Colombo (RPS)
11-Sep-94,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (SSC)
13-Sep-94,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (PSS)
17-Sep-94,Sri Lanka,India,India,6 wickets,Colombo (SSC)
12-Oct-94,Australia,South Africa,Australia,6 runs,Lahore
14-Oct-94,Pakistan,Australia,Australia,7 wickets,Multan
16-Oct-94,Pakistan,South Africa,Pakistan,8 wickets,Karachi
17-Oct-94,India,West Indies,West Indies,96 runs,Faridabad
18-Oct-94,Australia,South Africa,Australia,22 runs,Faisalabad
20-Oct-94,India,West Indies,India,8 runs,Wankhede
20-Oct-94,Pakistan,South Africa,Pakistan,39 runs,Rawalpindi
22-Oct-94,Pakistan,Australia,Pakistan,9 wickets,Rawalpindi
23-Oct-94,India,West Indies,India,4 wickets,Chennai
24-Oct-94,Australia,South Africa,Australia,3 wickets,Peshawar
26-Oct-94,New Zealand,West Indies,no result,,Margao
28-Oct-94,India,New Zealand,India,7 wickets,Vadodara
28-Oct-94,Pakistan,South Africa,Pakistan,6 wickets,Faisalabad
30-Oct-94,India,West Indies,West Indies,46 runs,Kanpur
30-Oct-94,Pakistan,Australia,Australia,64 runs,Lahore
01-Nov-94,New Zealand,West Indies,West Indies,135 runs,Guwahati
03-Nov-94,India,New Zealand,India,107 runs,Delhi
03-Nov-94,Zimbabwe,Sri Lanka,Sri Lanka,56 runs,Harare
05-Nov-94,Zimbabwe,Sri Lanka,Zimbabwe,2 runs,Harare
05-Nov-94,India,West Indies,India,72 runs,Eden Gardens
06-Nov-94,Zimbabwe,Sri Lanka,Sri Lanka,191 runs,Harare
07-Nov-94,India,West Indies,India,4 runs,Visakhapatnam
09-Nov-94,India,West Indies,India,8 wickets,Cuttack
11-Nov-94,India,West Indies,India,5 runs,Jaipur
02-Dec-94,Australia,Zimbabwe,Australia,2 wickets,Perth
02-Dec-94,Pakistan,Sri Lanka,Pakistan,6 wickets,Durban
04-Dec-94,Pakistan,Sri Lanka,Pakistan,12 runs,Centurion
06-Dec-94,Australia,England,Australia,28 runs,Sydney
06-Dec-94,South Africa,New Zealand,South Africa,69 runs,Cape Town
08-Dec-94,Australia,Zimbabwe,Australia,84 runs,Hobart
08-Dec-94,New Zealand,Sri Lanka,no result,,Bloemfontein
10-Dec-94,South Africa,Pakistan,South Africa,7 wickets,Johannesburg
11-Dec-94,South Africa,New Zealand,South Africa,81 runs,Centurion
13-Dec-94,New Zealand,Pakistan,Pakistan,5 wickets,Gqeberha
15-Dec-94,England,Zimbabwe,Zimbabwe,13 runs,Sydney
15-Dec-94,South Africa,Sri Lanka,Sri Lanka,35 runs,Bloemfontein
17-Dec-94,South Africa,Pakistan,Pakistan,8 wickets,Durban
18-Dec-94,New Zealand,Sri Lanka,Sri Lanka,5 wickets,East London
19-Dec-94,New Zealand,Pakistan,Pakistan,5 wickets,East London
21-Dec-94,South Africa,Sri Lanka,South Africa,44 runs,Gqeberha
07-Jan-95,England,Zimbabwe,England,26 runs,Brisbane
10-Jan-95,Australia,England,England,37 runs,Melbourne
10-Jan-95,South Africa,Pakistan,South Africa,37 runs,Cape Town
12-Jan-95,South Africa,Pakistan,South Africa,157 runs,Johannesburg
22-Jan-95,New Zealand,West Indies,West Indies,25 runs,Auckland
25-Jan-95,New Zealand,West Indies,West Indies,41 runs,Wellington
28-Jan-95,New Zealand,West Indies,West Indies,9 wickets,Christchurch
15-Feb-95,Australia,South Africa,Australia,3 wickets,Wellington
16-Feb-95,New Zealand,India,New Zealand,4 wickets,Napier
18-Feb-95,India,South Africa,South Africa,14 runs,Hamilton
19-Feb-95,New Zealand,Australia,Australia,27 runs,Auckland
22-Feb-95,Australia,India,India,5 wickets,Dunedin
22-Feb-95,Zimbabwe,Pakistan,tied,,Harare
24-Feb-95,New Zealand,South Africa,New Zealand,46 runs,Christchurch
25-Feb-95,Zimbabwe,Pakistan,Pakistan,4 wickets,Harare
26-Feb-95,New Zealand,Australia,Australia,6 wickets,Auckland
26-Feb-95,Zimbabwe,Pakistan,Zimbabwe,74 runs,Harare
08-Mar-95,West Indies,Australia,West Indies,6 runs,Bridgetown
11-Mar-95,West Indies,Australia,Australia,26 runs,Port of Spain
12-Mar-95,West Indies,Australia,West Indies,133 runs,Port of Spain
15-Mar-95,West Indies,Australia,West Indies,7 wickets,Kingstown
18-Mar-95,West Indies,Australia,West Indies,5 wickets,Georgetown
26-Mar-95,New Zealand,Sri Lanka,New Zealand,33 runs,Christchurch
29-Mar-95,New Zealand,Sri Lanka,New Zealand,57 runs,Hamilton
01-Apr-95,New Zealand,Sri Lanka,Sri Lanka,51 runs,Auckland
05-Apr-95,Bangladesh,India,India,9 wickets,Sharjah
06-Apr-95,Bangladesh,Sri Lanka,Sri Lanka,107 runs,Sharjah
07-Apr-95,India,Pakistan,Pakistan,97 runs,Sharjah
08-Apr-95,Bangladesh,Pakistan,Pakistan,6 wickets,Sharjah
09-Apr-95,India,Sri Lanka,India,8 wickets,Sharjah
11-Apr-95,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah
14-Apr-95,India,Sri Lanka,India,8 wickets,Sharjah
25-May-95,England,West Indies,West Indies,5 wickets,Nottingham
26-May-95,England,West Indies,England,25 runs,The Oval
28-May-95,England,West Indies,England,73 runs,Lord's
29-Sep-95,Pakistan,Sri Lanka,Pakistan,9 wickets,Gujranwala
01-Oct-95,Pakistan,Sri Lanka,Sri Lanka,49 runs,Faisalabad
03-Oct-95,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Rawalpindi
11-Oct-95,Sri Lanka,West Indies,Sri Lanka,6 runs,Sharjah
12-Oct-95,Pakistan,Sri Lanka,Pakistan,82 runs,Sharjah
13-Oct-95,Pakistan,West Indies,Pakistan,15 runs,Sharjah
15-Oct-95,Pakistan,West Indies,West Indies,4 wickets,Sharjah
16-Oct-95,Sri Lanka,West Indies,West Indies,4 runs,Sharjah
17-Oct-95,Pakistan,Sri Lanka,Sri Lanka,8 wickets,Sharjah
20-Oct-95,Sri Lanka,West Indies,Sri Lanka,50 runs,Sharjah
21-Oct-95,Zimbabwe,South Africa,South Africa,134 runs,Harare
22-Oct-95,Zimbabwe,South Africa,South Africa,112 runs,Harare
15-Nov-95,India,New Zealand,New Zealand,8 wickets,Jamshedpur
18-Nov-95,India,New Zealand,India,6 wickets,Amritsar
24-Nov-95,India,New Zealand,India,5 wickets,Pune
26-Nov-95,India,New Zealand,New Zealand,99 runs,Nagpur
29-Nov-95,India,New Zealand,India,6 wickets,Brabourne
15-Dec-95,New Zealand,Pakistan,Pakistan,20 runs,Dunedin
15-Dec-95,Sri Lanka,West Indies,Sri Lanka,4 wickets,Adelaide
17-Dec-95,New Zealand,Pakistan,New Zealand,1 wicket,Christchurch
17-Dec-95,Australia,West Indies,Australia,121 runs,Adelaide
19-Dec-95,Australia,West Indies,Australia,24 runs,Melbourne
20-Dec-95,New Zealand,Pakistan,Pakistan,54 runs,Wellington
21-Dec-95,Australia,Sri Lanka,Australia,5 wickets,Sydney
23-Dec-95,New Zealand,Pakistan,New Zealand,32 runs,Auckland
01-Jan-96,Australia,West Indies,Australia,1 wicket,Sydney
03-Jan-96,Sri Lanka,West Indies,West Indies,70 runs,Hobart
05-Jan-96,Sri Lanka,West Indies,West Indies,7 wickets,Brisbane
07-Jan-96,Australia,West Indies,West Indies,14 runs,Brisbane
09-Jan-96,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne
09-Jan-96,South Africa,England,South Africa,6 runs,Cape Town
11-Jan-96,South Africa,England,England,5 wickets,Bloemfontein
12-Jan-96,Australia,Sri Lanka,Australia,83 runs,Perth
13-Jan-96,South Africa,England,South Africa,3 wickets,Johannesburg
14-Jan-96,Sri Lanka,West Indies,Sri Lanka,16 runs,Perth
14-Jan-96,South Africa,England,South Africa,7 wickets,Centurion
16-Jan-96,Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne
17-Jan-96,South Africa,England,South Africa,5 wickets,Durban
18-Jan-96,Australia,Sri Lanka,Australia,18 runs,Melbourne
19-Jan-96,South Africa,England,South Africa,14 runs,East London
20-Jan-96,Australia,Sri Lanka,Australia,9 runs,Sydney
21-Jan-96,South Africa,England,South Africa,64 runs,Gqeberha
28-Jan-96,New Zealand,Zimbabwe,New Zealand,74 runs,Auckland
31-Jan-96,New Zealand,Zimbabwe,New Zealand,6 wickets,Wellington
03-Feb-96,New Zealand,Zimbabwe,Zimbabwe,21 runs,Napier
14-Feb-96,England,New Zealand,New Zealand,11 runs,Ahmedabad
16-Feb-96,South Africa,U.A.E.,South Africa,169 runs,Rawalpindi
16-Feb-96,West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad
17-Feb-96,Netherlands,New Zealand,New Zealand,119 runs,Vadodara
18-Feb-96,India,Kenya,India,7 wickets,Cuttack
18-Feb-96,England,U.A.E.,England,8 wickets,Peshawar
20-Feb-96,New Zealand,South Africa,South Africa,5 wickets,Faisalabad
21-Feb-96,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC)
21-Feb-96,India,West Indies,India,5 wickets,Gwalior
22-Feb-96,England,Netherlands,England,49 runs,Peshawar
23-Feb-96,Australia,Kenya,Australia,97 runs,Visakhapatnam
24-Feb-96,Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala
25-Feb-96,England,South Africa,South Africa,78 runs,Rawalpindi
26-Feb-96,Kenya,Zimbabwe,no result,,Patna
26-Feb-96,Pakistan,Netherlands,Pakistan,8 wickets,Lahore
27-Feb-96,Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna
27-Feb-96,New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad
27-Feb-96,India,Australia,Australia,16 runs,Wankhede
29-Feb-96,Kenya,West Indies,Kenya,73 runs,Pune
29-Feb-96,Pakistan,South Africa,South Africa,5 wickets,Karachi
01-Mar-96,Australia,Zimbabwe,Australia,8 wickets,Nagpur
01-Mar-96,Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore
02-Mar-96,India,Sri Lanka,Sri Lanka,6 wickets,Delhi
03-Mar-96,Pakistan,England,Pakistan,7 wickets,Karachi
04-Mar-96,Australia,West Indies,West Indies,4 wickets,Jaipur
05-Mar-96,Netherlands,South Africa,South Africa,160 runs,Rawalpindi
06-Mar-96,India,Zimbabwe,India,40 runs,Kanpur
06-Mar-96,Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy
06-Mar-96,Pakistan,New Zealand,Pakistan,46 runs,Lahore
09-Mar-96,England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad
09-Mar-96,India,Pakistan,India,39 runs,Bengaluru
11-Mar-96,South Africa,West Indies,West Indies,19 runs,Karachi
11-Mar-96,Australia,New Zealand,Australia,6 wickets,Chennai
13-Mar-96,India,Sri Lanka,Sri Lanka,,Eden Gardens
14-Mar-96,Australia,West Indies,Australia,5 runs,Mohali
17-Mar-96,Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore
26-Mar-96,West Indies,New Zealand,West Indies,1 wicket,Kingston
29-Mar-96,West Indies,New Zealand,New Zealand,4 wickets,Port of Spain
30-Mar-96,West Indies,New Zealand,West Indies,7 wickets,Port of Spain
01-Apr-96,Pakistan,Sri Lanka,no result,,Singapore
02-Apr-96,Pakistan,Sri Lanka,Sri Lanka,34 runs,Singapore
03-Apr-96,India,Sri Lanka,India,12 runs,Singapore
03-Apr-96,West Indies,New Zealand,New Zealand,4 runs,Georgetown
05-Apr-96,India,Pakistan,Pakistan,8 wickets,Singapore
06-Apr-96,West Indies,New Zealand,West Indies,7 wickets,Kingstown
07-Apr-96,Pakistan,Sri Lanka,Pakistan,43 runs,Singapore
12-Apr-96,India,Pakistan,Pakistan,38 runs,Sharjah
13-Apr-96,Pakistan,South Africa,South Africa,143 runs,Sharjah
13-Apr-96,West Indies,Sri Lanka,Sri Lanka,35 runs,Port of Spain
14-Apr-96,India,South Africa,South Africa,80 runs,Sharjah
15-Apr-96,India,Pakistan,India,28 runs,Sharjah
16-Apr-96,Pakistan,South Africa,South Africa,8 wickets,Sharjah
17-Apr-96,India,South Africa,South Africa,5 wickets,Sharjah
19-Apr-96,India,South Africa,South Africa,38 runs,Sharjah
24-May-96,England,India,no result,,The Oval
25-May-96,England,India,England,6 wickets,Leeds
27-May-96,England,India,England,4 wickets,Manchester
26-Aug-96,Australia,Zimbabwe,Australia,125 runs,Colombo (RPS)
28-Aug-96,Sri Lanka,India,Sri Lanka,9 wickets,Colombo (RPS)
29-Aug-96,England,Pakistan,England,5 wickets,Manchester
30-Aug-96,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS)
31-Aug-96,England,Pakistan,England,107 runs,Birmingham
01-Sep-96,India,Zimbabwe,India,7 wickets,Colombo (SSC)
01-Sep-96,England,Pakistan,Pakistan,2 wickets,Nottingham
03-Sep-96,Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC)
06-Sep-96,Australia,India,Australia,3 wickets,Colombo (SSC)
07-Sep-96,Sri Lanka,Australia,Sri Lanka,50 runs,Colombo (RPS)
16-Sep-96,India,Pakistan,India,8 wickets,Toronto
17-Sep-96,India,Pakistan,Pakistan,2 wickets,Toronto
18-Sep-96,India,Pakistan,India,55 runs,Toronto
21-Sep-96,India,Pakistan,Pakistan,97 runs,Toronto
23-Sep-96,India,Pakistan,Pakistan,52 runs,Toronto
28-Sep-96,Kenya,Sri Lanka,Sri Lanka,7 wickets,Nairobi (Gym)
29-Sep-96,Pakistan,South Africa,South Africa,62 runs,Nairobi (Gym)
01-Oct-96,South Africa,Sri Lanka,Sri Lanka,2 wickets,Nairobi (Club)
02-Oct-96,Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Aga)
03-Oct-96,Kenya,South Africa,South Africa,202 runs,Nairobi (Gym)
04-Oct-96,Pakistan,Sri Lanka,Pakistan,82 runs,Nairobi (Gym)
06-Oct-96,Pakistan,South Africa,South Africa,7 wickets,Nairobi (Gym)
17-Oct-96,India,South Africa,South Africa,47 runs,Hyderabad
19-Oct-96,Australia,South Africa,South Africa,7 wickets,Indore
21-Oct-96,India,Australia,India,2 wickets,Bengaluru
23-Oct-96,India,South Africa,South Africa,27 runs,Jaipur
25-Oct-96,Australia,South Africa,South Africa,2 wickets,Faridabad
29-Oct-96,India,South Africa,South Africa,5 wickets,Rajkot
30-Oct-96,Pakistan,Zimbabwe,Pakistan,3 wickets,Quetta
01-Nov-96,Australia,South Africa,South Africa,8 wickets,Guwahati
01-Nov-96,Pakistan,Zimbabwe,Pakistan,9 wickets,Lahore
03-Nov-96,Pakistan,Zimbabwe,Pakistan,78 runs,Peshawar
03-Nov-96,India,Australia,India,5 runs,Mohali
06-Nov-96,India,South Africa,India,35 runs,Wankhede
07-Nov-96,New Zealand,Sri Lanka,New Zealand,29 runs,Sharjah
08-Nov-96,Pakistan,Sri Lanka,Sri Lanka,75 runs,Sharjah
10-Nov-96,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah
11-Nov-96,New Zealand,Sri Lanka,tied,,Sharjah
12-Nov-96,Pakistan,Sri Lanka,Pakistan,8 wickets,Sharjah
13-Nov-96,New Zealand,Pakistan,Pakistan,4 wickets,Sharjah
15-Nov-96,New Zealand,Pakistan,Pakistan,41 runs,Sharjah
04-Dec-96,Pakistan,New Zealand,Pakistan,11 runs,Gujranwala
06-Dec-96,Australia,West Indies,Australia,5 wickets,Melbourne
06-Dec-96,Pakistan,New Zealand,Pakistan,46 runs,Sialkot
08-Dec-96,Australia,West Indies,Australia,8 wickets,Sydney
08-Dec-96,Pakistan,New Zealand,New Zealand,7 wickets,Karachi
14-Dec-96,India,South Africa,India,74 runs,Wankhede
15-Dec-96,Australia,Pakistan,Pakistan,12 runs,Adelaide
15-Dec-96,Zimbabwe,England,Zimbabwe,2 wickets,Bulawayo
17-Dec-96,Pakistan,West Indies,West Indies,7 wickets,Adelaide
01-Jan-97,Australia,Pakistan,Pakistan,4 wickets,Sydney
01-Jan-97,Zimbabwe,England,Zimbabwe,7 runs,Harare
03-Jan-97,Pakistan,West Indies,West Indies,6 wickets,Brisbane
03-Jan-97,Zimbabwe,England,Zimbabwe,131 runs,Harare
05-Jan-97,Australia,West Indies,West Indies,7 wickets,Brisbane
07-Jan-97,Australia,Pakistan,Pakistan,29 runs,Hobart
10-Jan-97,Pakistan,West Indies,West Indies,5 wickets,Perth
12-Jan-97,Australia,West Indies,West Indies,4 wickets,Perth
14-Jan-97,Pakistan,West Indies,Pakistan,8 wickets,Sydney
16-Jan-97,Australia,Pakistan,Australia,3 wickets,Melbourne
18-Jan-97,Pakistan,West Indies,Pakistan,4 wickets,Sydney
20-Jan-97,Pakistan,West Indies,Pakistan,62 runs,Melbourne
23-Jan-97,South Africa,India,South Africa,39 runs,Bloemfontein
25-Jan-97,South Africa,Zimbabwe,South Africa,5 wickets,Centurion
27-Jan-97,India,Zimbabwe,tied,,Paarl
29-Jan-97,South Africa,Zimbabwe,South Africa,5 wickets,Cape Town
31-Jan-97,South Africa,Zimbabwe,South Africa,4 wickets,Johannesburg
02-Feb-97,South Africa,India,South Africa,6 wickets,Gqeberha
04-Feb-97,South Africa,India,South Africa,6 wickets,East London
07-Feb-97,India,Zimbabwe,Zimbabwe,3 wickets,Centurion
09-Feb-97,India,Zimbabwe,India,6 wickets,Benoni
12-Feb-97,South Africa,India,no result,,Durban
13-Feb-97,South Africa,India,South Africa,17 runs,Durban
15-Feb-97,Zimbabwe,India,Zimbabwe,8 wickets,Bulawayo
20-Feb-97,New Zealand,England,England,4 wickets,Christchurch
23-Feb-97,New Zealand,England,England,6 wickets,Auckland
26-Feb-97,New Zealand,England,tied,,Napier
02-Mar-97,New Zealand,England,New Zealand,9 runs,Auckland
04-Mar-97,New Zealand,England,New Zealand,28 runs,Wellington
25-Mar-97,New Zealand,Sri Lanka,Sri Lanka,6 wickets,Christchurch
27-Mar-97,New Zealand,Sri Lanka,New Zealand,69 runs,Wellington
29-Mar-97,South Africa,Australia,South Africa,6 wickets,East London
31-Mar-97,South Africa,Australia,Australia,7 wickets,Gqeberha
02-Apr-97,South Africa,Australia,South Africa,46 runs,Cape Town
03-Apr-97,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Sharjah
04-Apr-97,Pakistan,Sri Lanka,Sri Lanka,19 runs,Sharjah
05-Apr-97,South Africa,Australia,Australia,15 runs,Durban
06-Apr-97,Pakistan,Zimbabwe,Pakistan,93 runs,Sharjah
07-Apr-97,Pakistan,Sri Lanka,Sri Lanka,51 runs,Sharjah
08-Apr-97,Sri Lanka,Zimbabwe,Zimbabwe,50 runs,Sharjah
08-Apr-97,South Africa,Australia,Australia,8 runs,Johannesburg
09-Apr-97,Pakistan,Zimbabwe,Pakistan,32 runs,Sharjah
10-Apr-97,South Africa,Australia,Australia,5 wickets,Centurion
11-Apr-97,Pakistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah
13-Apr-97,South Africa,Australia,South Africa,109 runs,Bloemfontein
26-Apr-97,West Indies,India,West Indies,8 wickets,Port of Spain
27-Apr-97,West Indies,India,India,10 wickets,Port of Spain
30-Apr-97,West Indies,India,West Indies,18 runs,Kingstown
03-May-97,West Indies,India,West Indies,10 wickets,Bridgetown
09-May-97,New Zealand,Pakistan,New Zealand,22 runs,Mohali
12-May-97,Pakistan,Sri Lanka,Pakistan,30 runs,Gwalior
14-May-97,India,New Zealand,India,8 wickets,Bengaluru
17-May-97,India,Sri Lanka,Sri Lanka,5 wickets,Wankhede
20-May-97,New Zealand,Sri Lanka,Sri Lanka,52 runs,Hyderabad
21-May-97,India,Pakistan,Pakistan,35 runs,Chennai
22-May-97,England,Australia,England,6 wickets,Leeds
24-May-97,Pakistan,Sri Lanka,Sri Lanka,115 runs,Mohali
24-May-97,England,Australia,England,6 wickets,The Oval
25-May-97,England,Australia,England,6 wickets,Lord's
27-May-97,Pakistan,Sri Lanka,Sri Lanka,85 runs,Eden Gardens
06-Jun-97,West Indies,Sri Lanka,West Indies,35 runs,Port of Spain
14-Jul-97,Sri Lanka,Pakistan,Sri Lanka,15 runs,Colombo (RPS)
